2020-08-14 21:30:48,020 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bf80>)
2020-08-14 21:30:48,524 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bfd0>)
2020-08-14 21:30:49,028 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bf80>)
2020-08-14 21:30:49,531 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bfa8>)
2020-08-14 21:30:50,035 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bf80>)
2020-08-14 21:30:50,539 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bfd0>)
2020-08-14 21:30:51,042 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bfa8>)
2020-08-14 21:30:51,546 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bf80>)
2020-08-14 21:30:52,049 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bfa8>)
2020-08-14 21:30:52,554 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb5985968>)
2020-08-14 21:30:53,059 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bfd0>)
2020-08-14 21:30:53,562 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bfa8>)
2020-08-14 21:30:54,066 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bfd0>)
2020-08-14 21:30:54,569 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb5994030>)
